"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre del anuncio",Día,"Estado de la entrega","Nivel de la entrega","Tipo de resultado",Resultados,"Costo por resultado","Tasa de Conversión a WhatsApp","Conversaciones con mensajes iniciadas","Nuevos contactos de mensajes","Visitas al perfil de Instagram","Importe gastado (COP)",Alcance,Impresiones,Frecuencia,"Clics en el enlace","CTR único (todos)","CPC (costo por clic en el enlace)","CPM (costo por mil impresiones)","CTR (todos)","Seguimientos de Instagram",Interacciones,"Costo por conversación con mensajes iniciada","Inicio del informe","Fin del informe","Resultados (iniciales)"
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-21,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,4959,1,2,2,2,9918,615,741,1.20487805,2,2.11382114,4959,13384.61538462,1.88933873,0,4,4959,2026-07-21,2026-07-21,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-21,active,ad,"Visitas al perfil y a la página",18,121.55555556,0,,,3,2188,419,452,1.07875895,10,3.34128878,218.8,4840.7079646,3.76106195,1,2,,2026-07-21,2026-07-21,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-21,active,ad,"Visitas al perfil y a la página",126,63.46825397,0,,,6,7997,1162,1209,1.0404475,76,6.71256454,105.22368421,6614.55748553,6.4516129,1,4,,2026-07-21,2026-07-21,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-20,active,ad,"Visitas al perfil y a la página",168,62.8452381,0,,,6,10558,1552,1652,1.06443299,104,6.44329897,101.51923077,6391.04116223,6.41646489,1,5,,2026-07-20,2026-07-20,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-20,active,ad,"Visitas al perfil y a la página",18,53.16666667,0,,,2,957,212,226,1.06603774,10,5.66037736,95.7,4234.51327434,6.63716814,0,3,,2026-07-20,2026-07-20,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-20,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,11455,0.5,1,1,0,11455,647,751,1.16074189,2,1.08191654,5727.5,15252.99600533,1.06524634,0,2,11455,2026-07-20,2026-07-20,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-19,not_delivering,ad,"Conversaciones con mensajes iniciadas",4,2844.75,1,4,4,3,11379,814,986,1.21130221,4,1.96560197,2844.75,11540.56795132,1.82555781,0,4,2844.75,2026-07-19,2026-07-19,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-19,active,ad,"Visitas al perfil y a la página",6,215.5,0,,,2,1293,310,317,1.02258065,5,2.25806452,258.6,4078.86435331,2.52365931,1,2,,2026-07-19,2026-07-19,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-19,active,ad,"Visitas al perfil y a la página",128,69.4765625,0,,,18,8893,1495,1578,1.05551839,85,5.75250836,104.62352941,5635.61470215,5.57667934,0,3,,2026-07-19,2026-07-19,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-18,active,ad,"Visitas al perfil y a la página",1,169,0,,,1,169,43,47,1.09302326,1,6.97674419,169,3595.74468085,6.38297872,0,1,,2026-07-18,2026-07-18,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-18,active,ad,"Visitas al perfil y a la página",165,59.71515152,0,,,17,9853,1347,1436,1.06607275,105,7.49814402,93.83809524,6861.42061281,7.59052925,2,3,,2026-07-18,2026-07-18,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-18,not_delivering,ad,"Conversaciones con mensajes iniciadas",6,1388,1.2,6,6,2,8328,619,747,1.20678514,7,2.42326333,1189.71428571,11148.59437751,3.0789826,0,4,1388,2026-07-18,2026-07-18,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-17,active,ad,,,,,,,0,5,5,5,1,,,,1000,0,0,,,2026-07-17,2026-07-17,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-17,active,ad,"Visitas al perfil y a la página",160,67.06875,0,,,6,10731,1442,1518,1.05270458,95,6.72676838,112.95789474,7069.16996047,6.58761528,0,2,,2026-07-17,2026-07-17,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-17,not_delivering,ad,"Conversaciones con mensajes iniciadas",4,2248.75,0.57142857,4,4,0,8995,571,663,1.16112084,7,2.10157618,1285,13567.11915535,2.11161388,0,1,2248.75,2026-07-17,2026-07-17,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-16,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,5385.5,0.66666667,2,2,4,10771,627,762,1.215311,3,1.9138756,3590.33333333,14135.17060367,1.70603675,0,4,5385.5,2026-07-16,2026-07-16,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-16,active,ad,"Visitas al perfil y a la página",1,621,0,,,0,621,103,107,1.03883495,1,2.91262136,621,5803.73831776,2.80373832,0,1,,2026-07-16,2026-07-16,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-16,active,ad,"Visitas al perfil y a la página",116,75.15517241,0,,,11,8718,1161,1230,1.05943152,76,6.63221361,114.71052632,7087.80487805,6.2601626,2,5,,2026-07-16,2026-07-16,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-15,active,ad,"Visitas al perfil y a la página",2,170,0,,,0,340,64,67,1.046875,2,3.125,170,5074.62686567,2.98507463,0,1,,2026-07-15,2026-07-15,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-15,active,ad,"Visitas al perfil y a la página",141,60.4751773,0,,,5,8527,1345,1390,1.03345725,80,5.72490706,106.5875,6134.5323741,5.89928058,0,1,,2026-07-15,2026-07-15,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-15,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,5114,0.4,2,2,4,10228,855,1029,1.20350877,5,2.22222222,2045.6,9939.7473275,1.9436346,0,2,5114,2026-07-15,2026-07-15,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-14,active,ad,"Visitas al perfil y a la página",3,205.66666667,0,,,0,617,204,210,1.02941176,2,2.45098039,308.5,2938.0952381,2.85714286,0,1,,2026-07-14,2026-07-14,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-14,active,ad,"Visitas al perfil y a la página",162,56.82716049,0,,,2,9206,1707,1763,1.03280609,97,5.97539543,94.90721649,5221.78105502,5.95575723,0,5,,2026-07-14,2026-07-14,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-14,not_delivering,ad,,,,0,,,1,9257,795,945,1.18867925,2,1.25786164,4628.5,9795.76719577,1.05820106,0,1,,2026-07-14,2026-07-14,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-13,active,ad,"Visitas al perfil y a la página",153,60.92156863,0,,,9,9321,1491,1605,1.07645875,94,6.10328638,99.15957447,5807.47663551,5.91900312,0,7,,2026-07-13,2026-07-13,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-13,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,9487,0.33333333,1,1,0,9487,555,638,1.14954955,3,1.08108108,3162.33333333,14869.90595611,1.2539185,0,2,9487,2026-07-13,2026-07-13,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-13,active,ad,"Visitas al perfil y a la página",6,144,0,,,0,864,173,178,1.02890173,3,4.04624277,288,4853.93258427,5.05617978,0,,,2026-07-13,2026-07-13,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-12,not_delivering,ad,"Conversaciones con mensajes iniciadas",5,2577.6,0.71428571,5,5,0,12888,915,1048,1.14535519,7,1.74863388,1841.14285714,12297.70992366,1.6221374,0,5,2577.6,2026-07-12,2026-07-12,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-12,active,ad,"Visitas al perfil y a la página",164,61.65243902,0,,,5,10111,1533,1664,1.08545336,104,6.91454664,97.22115385,6076.32211538,6.67067308,0,2,,2026-07-12,2026-07-12,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-12,active,ad,"Visitas al perfil y a la página",5,180.2,0,,,0,901,199,204,1.02512563,3,2.01005025,300.33333333,4416.66666667,1.96078431,0,,,2026-07-12,2026-07-12,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-11,active,ad,,,,,,,0,620,110,117,1.06363636,,1.81818182,,5299.14529915,1.70940171,0,,,2026-07-11,2026-07-11,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-11,active,ad,"Visitas al perfil y a la página",129,68.92248062,0,,,7,8891,1249,1324,1.06004804,74,5.60448359,120.14864865,6715.25679758,5.51359517,1,4,,2026-07-11,2026-07-11,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-11,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,7651,0.5,1,1,3,7651,397,472,1.18891688,2,2.01511335,3825.5,16209.74576271,1.69491525,0,2,7651,2026-07-11,2026-07-11,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-10,active,ad,,,,,,,0,79,14,14,1,,,,5642.85714286,0,0,,,2026-07-10,2026-07-10,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-10,active,ad,"Visitas al perfil y a la página",121,71.23140496,0,,,8,8619,1368,1442,1.05409357,77,5.84795322,111.93506494,5977.11511789,5.68654646,1,3,,2026-07-10,2026-07-10,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-10,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,4024.5,0.66666667,2,1,0,8049,546,643,1.17765568,3,2.1978022,2683,12517.88491446,1.86625194,0,2,4024.5,2026-07-10,2026-07-10,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-09,active,ad,"Visitas al perfil y a la página",140,66.94285714,0,,,1,9372,1541,1634,1.06035042,89,5.90525633,105.30337079,5735.61811506,5.81395349,0,2,,2026-07-09,2026-07-09,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-09,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,9593,0.2,1,1,4,9593,795,906,1.13962264,5,1.3836478,1918.6,10588.30022075,1.43487859,0,1,9593,2026-07-09,2026-07-09,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-09,active,ad,"Visitas al perfil y a la página",3,120.66666667,0,,,0,362,73,74,1.01369863,3,4.10958904,120.66666667,4891.89189189,5.40540541,0,,,2026-07-09,2026-07-09,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-08,active,ad,"Visitas al perfil y a la página",33,126.75757576,0,,,5,4183,726,755,1.0399449,19,3.16804408,220.15789474,5540.39735099,3.31125828,3,1,,2026-07-08,2026-07-08,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-08,active,ad,"Visitas al perfil y a la página",102,66.21568627,0,,,2,6754,963,1025,1.06438214,74,7.47663551,91.27027027,6589.26829268,7.31707317,0,1,,2026-07-08,2026-07-08,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-08,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,3417.33333333,0.75,3,3,1,10252,751,894,1.19041278,4,1.99733688,2563,11467.56152125,1.78970917,0,3,3417.33333333,2026-07-08,2026-07-08,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-07,active,ad,"Visitas al perfil y a la página",23,212.34782609,0,,,2,4884,939,995,1.05963791,19,2.66240682,257.05263158,4908.54271357,2.71356784,1,7,,2026-07-07,2026-07-07,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-07,active,ad,"Visitas al perfil y a la página",51,94.84313725,0,,,2,4837,749,759,1.01335113,32,4.4058745,151.15625,6372.85902503,4.34782609,0,,,2026-07-07,2026-07-07,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-07,not_delivering,ad,"Conversaciones con mensajes iniciadas",4,3228.25,0.66666667,4,3,7,12913,889,1065,1.19797525,6,1.91226097,2152.16666667,12124.88262911,1.78403756,0,3,3228.25,2026-07-07,2026-07-07,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-06,active,ad,"Visitas al perfil y a la página",35,168.28571429,0,,,4,5890,1353,1431,1.05764967,22,2.43902439,267.72727273,4116.00279525,2.51572327,0,6,,2026-07-06,2026-07-06,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-06,active,ad,"Visitas al perfil y a la página",59,67.25423729,0,,,7,3968,634,669,1.05520505,47,7.2555205,84.42553191,5931.2406577,7.17488789,1,1,,2026-07-06,2026-07-06,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-06,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,12542,0.33333333,1,1,1,12542,863,1105,1.28041715,3,1.85399768,4180.66666667,11350.22624434,1.53846154,0,2,12542,2026-07-06,2026-07-06,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-05,active,ad,"Visitas al perfil y a la página",42,66.0952381,0,,,4,2776,563,581,1.03197158,33,5.68383659,84.12121212,4777.96901893,5.50774527,1,,,2026-07-05,2026-07-05,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-05,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,4404.5,0.5,2,2,1,8809,662,810,1.22356495,4,1.20845921,2202.25,10875.30864198,1.11111111,0,4,4404.5,2026-07-05,2026-07-05,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-05,not_delivering,ad,,,,0,,,2,1851,54,85,1.57407407,1,5.55555556,1851,21776.47058824,3.52941176,0,,,2026-07-05,2026-07-05,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-05,active,ad,"Visitas al perfil y a la página",37,236.86486486,0.03703704,1,1,12,8764,2043,2228,1.09055311,29,2.39843368,302.20689655,3933.57271095,2.6929982,2,10,8764,2026-07-05,2026-07-05,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-05,not_delivering,ad,,,,,,,0,81,5,5,1,,,,16200,0,0,,,2026-07-05,2026-07-05,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-04,not_delivering,ad,,,,,,,0,571,30,37,1.23333333,,,,15432.43243243,0,0,,,2026-07-04,2026-07-04,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-04,not_delivering,ad,,,,,,,0,42,5,5,1,,,,8400,0,0,1,,2026-07-04,2026-07-04,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-04,active,ad,"Visitas al perfil y a la página",33,198.06060606,0,,,12,6536,1420,1504,1.05915493,28,2.74647887,233.42857143,4345.74468085,2.79255319,2,6,,2026-07-04,2026-07-04,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-04,active,ad,"Visitas al perfil y a la página",17,99.82352941,0,,,8,1697,353,363,1.02832861,15,4.24929178,113.13333333,4674.93112948,4.1322314,1,3,,2026-07-04,2026-07-04,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-04,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,3677.5,0.66666667,2,2,1,7355,567,701,1.23633157,4,1.41093474,1838.75,10492.15406562,1.28388017,0,2,3677.5,2026-07-04,2026-07-04,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-03,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,6163,0.33333333,1,1,2,6163,1205,1267,1.05145228,3,0.66390041,2054.33333333,4864.24625099,0.86819258,0,2,6163,2026-07-03,2026-07-03,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-03,active,ad,"Visitas al perfil y a la página",12,97.5,0,,,1,1170,220,232,1.05454545,8,4.54545455,146.25,5043.10344828,4.31034483,0,1,,2026-07-03,2026-07-03,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-03,not_delivering,ad,,,,,,,0,589,14,14,1,,,,42071.42857143,0,0,,,2026-07-03,2026-07-03,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-03,active,ad,"Visitas al perfil y a la página",25,273.92,0,,,9,6848,1489,1632,1.09603761,20,1.94761585,342.4,4196.07843137,2.20588235,3,10,,2026-07-03,2026-07-03,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-03,not_delivering,ad,,,,0,,,1,5431,65,151,2.32307692,1,4.61538462,5431,35966.88741722,1.98675497,0,1,,2026-07-03,2026-07-03,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-02,not_delivering,ad,,,,0,,,1,6010,55,149,2.70909091,4,14.54545455,1502.5,40335.5704698,6.04026846,1,1,,2026-07-02,2026-07-02,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-02,not_delivering,ad,,,,,,,0,720,17,24,1.41176471,,5.88235294,,30000,4.16666667,0,,,2026-07-02,2026-07-02,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-02,active,ad,"Visitas al perfil y a la página",55,141.94545455,0.05128205,2,2,24,7807,1297,1471,1.13415574,42,3.77794911,185.88095238,5307.27396329,4.21481985,12,9,3903.5,2026-07-02,2026-07-02,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-02,active,ad,"Visitas al perfil y a la página",15,118.26666667,0,,,9,1774,373,393,1.0536193,17,4.02144772,104.35294118,4513.99491094,3.81679389,0,2,,2026-07-02,2026-07-02,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-02,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,3874.5,0.5,2,2,2,7749,1230,1362,1.10731707,6,1.13821138,1291.5,5689.42731278,1.3215859,0,2,3874.5,2026-07-02,2026-07-02,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 2",2026-07-01,active,ad,"Visitas al perfil y a la página",33,155.96969697,0,,,15,5147,867,933,1.07612457,28,4.26758939,183.82142857,5516.6130761,4.82315113,5,4,,2026-07-01,2026-07-01,
"[Awareness] - Tráfico Perfil - ABO","Frio Abierto","Reel 1",2026-07-01,active,ad,"Visitas al perfil y a la página",52,109.32692308,0,,,14,5685,822,866,1.05352798,45,5.59610706,126.33333333,6564.66512702,5.65819861,1,3,,2026-07-01,2026-07-01,
"[Remarketing] - Interacción - ABO","Público Personalizado",Bono,2026-07-01,not_delivering,ad,,,,,,,0,651,7,11,1.57142857,,,,59181.81818182,0,0,,,2026-07-01,2026-07-01,
"[Remarketing] - Interacción - ABO","Público Personalizado","Maleta + IA",2026-07-01,not_delivering,ad,,,,0,,,0,3561,43,91,2.11627907,1,6.97674419,3561,39131.86813187,3.2967033,0,1,,2026-07-01,2026-07-01,
"[Punta Cana] - Interacción- ABO","Frio Abierto","Reel Punta Cana",2026-07-01,not_delivering,ad,"Conversaciones con mensajes iniciadas",5,3483.8,1,5,4,0,17419,10429,10941,1.04909387,21,0.18218429,829.47619048,1592.08481857,0.44785669,0,2,3483.8,2026-07-01,2026-07-01,
